database,total_rows,total_cols,tables,est_size_mb
etl_2023_nfl_stats,565497,24,4,103.54559326171875
app_2023-24-25_ffa,316932,62,5,149.91595458984375
app_2023-24-25_nfl_stats,307249,42,4,98.45320129394531
app_2023-24-25_dudes_simulation,194140,15,2,22.217559814453125
etl_2023_ffa,80252,61,5,37.348724365234375
app_2023-24-25_nfl_players,70181,22,2,11.779647827148438
etl_2023_dudes_simulation,47882,15,2,5.4796600341796875
app_2023-24-25_nfl_round,41338,44,5,13.87689208984375
etl_2023_nfl_players,18858,22,2,3.165252685546875
etl_2023_nfl_round,9315,44,5,3.126983642578125
app_2023-24-25_nfl_recap,311,15,1,0.03559112548828125
app_2023-24-25_nfl_teams,32,6,2,0.00146484375
etl_2023_nfl_teams,28,6,2,0.00128173828125
etl_2023_nfl_recap,0,15,1,0
